"#KateConwayisaJerk" (2015)	2015-????
"Dream On" (1990) {Martin Gets Lucky (#1.8)}	1990
"Dream On" (1990) {Significant Author (#6.4)}	1995
"Dream On" (1990) {Steinway to Heaven (#5.4)}	1994
"Dream Team" (1997) {(#2.10)}	1998
"Dream Team" (1997) {(#2.56)}	1999
"Dream Team" (1997) {(#3.4)}	1999
"Drexell's Class" (1991) {Ashes to Ashes (#1.15)}	1992
"Drifting with the Allstars" (2014) {Stanley vs. Mark (#1.7)}	2014
"Drive-in Classics" (2001) {Horror Marathon (#6.155)}	2006
"Driving Mum and Dad Mad" (2005) {(#1.6)}	2005
"Dual Suspects" (2010) {Hollywood Homicide (#1.6)}	2011
"Dude, What Would Happen" (2009) {Camp Anywhere/Bounce (#2.11)}	2011
"Dumbass Filmmakers!" (2012) {Vicki's Power Play (#1.7)}	2012
"Dunya en Desie" (2002) {Marken - Marrakech (#2.6)}	2003
"Durrty Dav" (2007) {Madden Grief (#1.16)}	2009
"Duty Bound" (1958) {Operation Stop-Watch (#1.5)}	1958
"Dva s polovinoy povara. Otkrytaya kuhnya" (2013) {(#1.100)}	????
"DVD on TV" (2004) {The Simpsons (#7.7)}	2010
"Dve sudby: Novaya zhizn" (2008) {(#1.7)}	????
"Dynasty" (1981) {The Accident (#6.16)}	1986
"Dyrektorzy" (1975) {Ryzykant (#1.6)}	1975
"Dyuzhina pravosudiya" (2007) {(#1.3)}	????
"D�a a d�a" (1996) {(1997-06-13)}	1997
"D�a a d�a" (1996) {(1997-12-24)}	1997
"D�a a d�a" (1996) {(1999-04-20)}	1999
"D�a a d�a" (1996) {(1999-10-29)}	1999
"D�a a d�a" (1996) {(2000-02-23)}	2000
"D�a a d�a" (1996) {(2003-02-05)}	2003
"D�a a d�a" (1996) {(2003-05-19)}	2003
"D�a a D�a" (1999) {(#2.41)}	2000
"D�as de cine" (1991) {(2003-12-04)}	2003
"D�as de cine" (1991) {(2012-02-23)}	2012
"D�g�n sarkicisi" (2008)	2008-????
"E! Latin News" (2010) {(#1.47)}	2010
"E! News" (1991) {(2005-01-24)}	2005
"E! News" (1991) {(2015-01-31)}	2015
"E! True Hollywood Story" (1996) {Sean 'Diddy' Combs}	2006
"E.C.W." (2006) {(2008-12-16)}	2008
"East Coast Mecca" (2015)	2015-????
"EastEnders" (1985) {(#1.163)}	1986
"EastEnders" (1985) {(#1.304)}	1988
"EastEnders" (1985) {(#1.5223)}	????
"EastEnders" (1985) {(1992-03-17)}	1992
"EastEnders" (1985) {(1995-11-06)}	1995
"EastEnders" (1985) {(1997-08-19)}	1997
"EastEnders" (1985) {(1999-09-05)}	1999
"EastEnders" (1985) {(2000-02-14)}	2000
"EastEnders" (1985) {(2013-07-09)}	2013
"EastEnders" (1985) {(2014-05-16)}	2014
"EastEnders" (1985) {Murder in Albert Square (#1.1)}	1985
"Easy to Assemble" (2008) {Flying Solo: Part 1 (#2.11)}	2010
"Eat and Run" (2015) {Tel Aviv, Part 2 (#1.4)}	2015
"eBand" (2012) {Power Ranger - Dino Painters (#1.12)}	????
"Ebony/Jet Showcase" (1982) {(1990-10-03)}	1990
"Echo Beach" (2008) {(#1.4)}	2008
"EcoDivas TV" (2009) {Jessica Alba EMA Sound Bite (#5.1)}	2013
"Economics U$A" (1985) {Perfect Competition & Inelastic Demand: Can the Farmer Make a Profit? (#1.17)}	????
"Edici�n Especial Coleccionista" (2010) {Blu-ray: Pack Indiana Jones (#5.9)}	2013
"Educating Archie" (1958) {(#1.9)}	1959
"Educating the East End" (2014) {(#1.3)}	2014
"Eenyobo" (1993) {(#1.55)}	1993
"Efrosinya" (2010) {(#3.233)}	????
"Efter Tio" (2006) {(2010-10-04)}	2010
"Eggshells" (1991)	1991-1993
"eHow Auto Center" (2012) {Choosing Performance Tires (#1.12)}	2013
"eHow: Lightweight Women's Clothing for Travel" (2013)	2013-????
"Eikoku ikka, Nippon o taberu" (2015) {(#1.16)}	2015
"Ein Herz und eine Seele" (1973) {Rosenmontagszug (#2.3)}	1974
"Ein Laden in..." (2007) {Dzukija - Tadas, der fahrende H�ndler (#1.10)}	2007
"Ein unverge�liches Wochenende" (1993) {Auf Capri (#1.3)}	1994
"Eine ganz gew�hnliche Geschichte" (1975) {Karriere verschoben (#2.3)}	????
"Eine wie Keine" (2009) {(#1.205)}	????
"Einsatz f�r Lohbeck" (1994) {Rabenvater (#2.13)}	1995
"Eisai to tairi mou" (2001) {(#1.18)}	2002
"Eisai to tairi mou" (2001) {(#1.3)}	2001
"Eisenbahn-Romantik" (1991) {100 Jahre Erzgebirgsbahn (#7.221)}	1997
"Eisenbahn-Romantik" (1991) {Der Traum vom Lokf�hrer (#2.12)}	1992
"EKN Worldwide Kids News" (2003)	2003-????
"El amor lo manejo yo" (2014) {Chacarero (#1.10)}	2014
"El amor lo manejo yo" (2014) {La familia Duque tiene un enemigo (#1.3)}	2014
"El Club de Archi" (2012) {La Gomera (#3.4)}	2015
"El club de la comedia" (2007) {(#11.2)}	2014
"El Club de la Ma�ana" (2013)	2013-????
"El club de Pizzicato" (2009) {Fast-forward (#2.19)}	2011
"El club" (2004/I) {(#2.8)}	2005
"El club" (2004/I) {(#5.148)}	2009
"El color de la pasi�n" (2014) {Nora muy pronto podr�a conocer la verdad (#1.98)}	2014
"El comisario" (1999) {Dulce Clara (#11.7)}	2007
"El conciertazo" (2000) {(2004-10-23)}	2004
"El conciertazo" (2000) {(2005-12-17)}	2005
"El cor de la ciutat" (2000) {(#7.69)}	2006
"El cor de la ciutat" (2000) {(#9.209)}	2009
"El cor de la ciutat" (2000) {(2005-06-21)}	2005
"El Deseo" (2004) {(#1.52)}	2004
"El diario de Patricia" (2001) {(2001-10-09)}	2001
"El diario de Patricia" (2001) {(2002-01-18)}	2002
"El diario de Patricia" (2001) {(2002-08-16)}	2002
"El diario de Patricia" (2001) {(2004-02-06)}	2004
"El Diez" (2011) {La Cueva del Lobo (#1.5)}	2011
"El d�a menos pensado" (2001) {El Secreto (#5.8)}	2005
"El hormiguero" (2006) {(2012-01-16)}	2012
"El informal" (1998) {(1998-08-31)}	1998
"El informal" (1998) {(2001-02-15)}	2001
"El intermedio" (2006) {(2007-06-18)}	2007
"El intermedio" (2006) {(2008-06-12)}	2008
"El joc del segle" (1991) {(#2.24)}	1993
"El juego del euromill�n" (1998) {(2000-08-21)}	2000
"El juego del euromill�n" (1998) {(2000-12-22)}	2000
"El laberinto de Alicia" (2011) {Recuerdos (#1.37)}	2011
"El Laberinto" (2012) {Enemigos del pasado llegan para cobrar venganza (#1.1)}	2012
"El men� de Karlos Argui�ano" (1993) {(1994-03-07)}	1994
"El men� de Karlos Argui�ano" (1993) {(1995-05-18)}	1995
"El mundo m�gico de Brunelesky" (2004) {(2006-07-01)}	2006
"El negociador" (2007) {(2007-08-24)}	2007
"El pasado es ma�ana" (2005)	2005-????
"El precio justo" (1988) {(2001-04-05)}	2001
"El precio justo" (1988) {(2001-06-07)}	2001
"El premio" (1968)	1968-1969
"El primer caf�" (1996) {(1998-02-02)}	1998
"El primer caf�" (1996) {(1998-04-16)}	1998
"El primer caf�" (1996) {(1999-06-16)}	1999
"El primer caf�" (1996) {(2000-12-22)}	2000
"El primer caf�" (1996) {(2002-01-18)}	2002
"El privilegio de amar" (1998) {(#1.151)}	1999
"El programa de Ana Rosa" (2005) {(2009-05-05)}	2009
"El programa de Hermida" (1991) {(1992-01-04)}	1992
"El rinc�n de los sabores" (2001) {Pulpo/Filete de Cerdo/Bu�uelos}	2008
"El rival m�s d�bil" (2002) {(2003-01-21)}	2003
"El rival m�s d�bil" (2002) {(2004-08-16)}	2004
"El rondo" (1999) {(2001-04-30)}	2001
"El rondo" (1999) {(2003-12-22)}	2003
"El secreto de Puente Viejo" (2011) {(#1.7)}	2011
"El secreto" (2001) {(#1.97)}	2001
"El Sexo D�bil" (2011) {(#1.6)}	2011
"El Se�or de los Cielos" (2013) {(#3.30)}	2015
"El Se�or de los Cielos" (2013) {En los titulares (#1.23)}	2013
"El Shaka" (2010) {Cara a cara (#3.10)}	2012
"El tercer grado" (1997) {(1999-10-21)}	1999
"El ultimo matrimonio feliz" (2008) {(#1.19)}	2008
"El verano ya lleg�" (2004) {(2003-08-05)}	2003
"El v�deo del 1.000.000 de euros" (2006) {(2006-07-09)}	2006
"Electric Playground" (1997) {(#18.2)}	2008
"Electric Playground" (1997) {(#21.237)}	2011
"Electric Playground" (1997) {(#21.7)}	2011
"Electric Playground" (1997) {(#25.103)}	2015
"Electric Playground" (1997) {(#25.97)}	2015
"Electronic Spotlight" (2011) {Super Mash Bros (#1.4)}	2012
"Electrosluts" (2012) {Barbarella: A Kinky Parody Part 2 - BARBARELLA vs the Electric Dolls}	2014
"Elefant, Tiger & Co." (2003) {Rettung in letzter Sekunde (#1.122)}	2005
"Eleva2ren" (1988) {(#1.7)}	1988
"Eleva2ren" (1988) {(#2.22)}	1989
"Elevador Social" (2013) {Aquele do Doutor Google (#1.2)}	2013
"Elizabeth Andrews' Office Perils" (2010) {Elizabeth Andrews in: Gag Montage}	2010
"Ellen: The Ellen DeGeneres Show" (2003) {(2003-12-17)}	2003
"Ellen: The Ellen DeGeneres Show" (2003) {(2003-12-19)}	2003
"Ellen: The Ellen DeGeneres Show" (2003) {(2005-03-02)}	2005
"Ellen: The Ellen DeGeneres Show" (2003) {(2007-03-22)}	2007
"Ellen: The Ellen DeGeneres Show" (2003) {(2007-09-19)}	2007
"Ellen: The Ellen DeGeneres Show" (2003) {(2009-10-07)}	2009
"Ellen: The Ellen DeGeneres Show" (2003) {(2011-04-07)}	2011
"Ellen: The Ellen DeGeneres Show" (2003) {(2011-04-19)}	2011
"Ellen: The Ellen DeGeneres Show" (2003) {(2012-10-22)}	2012
"Ellen: The Ellen DeGeneres Show" (2003) {David Spade/Kacy Catanzaro/Meghan Trainor (#12.4)}	2014
"Ellerbeck" (2015) {Der Windpark (#1.6)}	2015
"Elliot Moose" (2000) {Dragonhorse}	2000
"Embarrassing Illnesses" (2007) {(#1.2)}	2007
"Emerald Point N.A.S." (1983) {(#1.11)}	1983
"Emergency-Ward 10" (1957) {(#1.256)}	1959
"Emergency-Ward 10" (1957) {(#1.604)}	1963
"Emergency-Ward 10" (1957) {(#1.852)}	1965
"Emergency-Ward 10" (1957) {Old Sam (#3.9)}	1967
"Emeril Live" (1997) {Off the Vine}	2007
"Emilia" (1979)	1979-????
"Emma" (1999) {(#1.2)}	1999
"Emmerdale Farm" (1972) {(#1.2698)}	2000
"Emmerdale Farm" (1972) {(#1.291)}	1976
"Emmerdale Farm" (1972) {(#1.3539)}	2003
"Emmerdale Farm" (1972) {(#1.3917)}	2004
"Emmerdale Farm" (1972) {(#1.5551)}	2010
"Emmerdale Farm" (1972) {(#1.5887)}	2011
"Emmerdale Farm" (1972) {(#1.6060)}	2011
"Emmerdale Farm" (1972) {(#1.6555)}	2013
"Emmerdale Farm" (1972) {(#1.678)}	1981
"Emmerdale Farm" (1972) {(#1.7207)}	2015
"Emmerdale Farm" (1972) {(#1.7254)}	2015
"Emmerdale Farm" (1972) {Better the Devil You Know (#1.5061)}	2008
"Emmones Idees" (1989) {(#9.1)}	1989
"Emperatriz" (2011) {(#1.1)}	2011
"Emperor of the Sea" (2004)	2004-2005
"Empire of the Word" (2009) {The Magic of Reading (#1.1)}	2009
"Empire" (2015) {Out, Damned Spot (#1.6)}	2015
"Empl�ate a fondo" (1996) {(1997-12-01)}	1997
"Empreintes" (2007) {Bernard Pivot, les ann�es Apostrophes (#4.4)}	2010
"Empreintes" (2007) {Sophie Marceau (#4.5)}	2010
"Emprendedores" (2006) {Styb (#1.11)}	2006
"Empty Nest" (1988) {Here's a Howdy-Do (#1.13)}	1989
"En direct de notre pass�" (2010) {La bataille des chemins de fer (#2.13)}	2012
"En directe" (2001) {(2005-12-16)}	2005
"En votre �me et conscience" (1954) {L'affaire Vaucroze}	1956
"Encore with John Palmer" (2006) {Dennis Ross}	2009
"Endless Summer" (2011) {TonyV (#1.1)}	2011
"Engaged & Underage" (2007)	2007-????
"Enkeleit� ja pikkupiruja" (1998) {Tervetuloa? (#1.9)}	1998
"Ensign O'Toole" (1962) {Operation Holdout (#1.6)}	1962
"Enterprise" (2001) {Daedalus (#4.10)}	2005
"Entertainers with Byron Allen" (2008) {(2013-12-09)}	2013
"Entertainment Express" (1983) {(#1.1)}	1983
"Entertainment Tonight" (1981) {(2005-11-15)}	2005
"Entertainment Tonight" (1981) {(2007-09-24)}	2007
"Entertainment Tonight" (1981) {(2007-12-18)}	2007
"Entertainment Tonight" (1981) {(2008-09-06)}	2008
"Entertainment Tonight" (1981) {(2011-05-19)}	2011
"Entertainment Tonight" (1981) {(2012-03-14)}	2012
"Entertainment Tonight" (1981) {(2014-05-02)}	2014
"Entertainment Tonight" (1981) {(2014-05-31)}	2014
"Entertainment Tonight" (1981) {(2014-06-05)}	2014
"Entertainment Tonight" (1981) {(2015-04-16)}	2015
"Entimotatoi keratades" (2006) {(#1.10)}	2006
"Entre l�nies" (1998) {(2003-03-24)}	2003
"Epic Online" (2011)	2011-????
"Episodes" (2011) {Episode Seven (#5.7)}	2016
"Epis�dio Especial" (2008) {(2008-05-03)}	2008
"Epta thanasimes petheres" (2004) {H timoros pethera}	????
"Equator" (2006/I)	2006-????
"ER" (1994) {Good Luck, Ruth Johnson (#5.9)}	1998
"ER" (1994) {Witch Hunt (#7.16)}	2001
"Erin Burnett OutFront" (2011) {Moore, Oklahoma Tornado}	2013
"Ermolovy" (2009) {(#1.12)}	????
"Erotic Confessions" (1994) {Lessons (#2.4)}	1995
"Es darf gelacht werden" (1961) {(#1.17)}	1962
"Escalera interior, escalera exterior" (1986) {Babilonia, Babilonia}	1986
"Escaping the Prophet" (2014) {A Family Torn Apart (#1.1)}	2014
"Escena" (2002) {(2002-12-10)}	2002
"Escenas de matrimonio" (2007) {(2007-10-14)}	2007
"Escobar, El patr�n del mal" (2012) {Jugando con Candela (#1.2)}	2012
"Escrito nas Estrelas" (2010) {(#1.136)}	2010
"Escuela del deporte" (1999) {(1999-11-13)}	1999
"Escuela del deporte" (1999) {(2001-01-06)}	2001
"Escuela del deporte" (1999) {(2001-10-06)}	2001
"Eskimoska" (2012) {(#1.14)}	????
"Esmeraldas" (2015)	2015-????
"Espa�a directo" (2005) {(2006-03-29)}	2006
"Espa�a directo" (2005) {(2007-12-23)}	2007
"Espejo p�blico" (1996) {(1999-05-02)}	1999
"Espejo p�blico" (1996) {(2000-01-16)}	2000
"Esperanza del coraz�n" (2011) {El esc�ndalo de Alexis (#1.42)}	2011
"Esperanza del coraz�n" (2011) {El lanzamiento de la crema de Orlando (#1.53)}	2011
"Esperanza del coraz�n" (2011) {Una trampa para Franco (#1.4)}	2011
"Esperanza m�a" (2015) {Momento de redenci�n (#1.32)}	2015
"ESPN First Take" (2007) {(2012-08-08)}	2012
"ESPN Outside the Lines: First Report" (2006) {Cuba on Deck?}	2015
"ESPN's Sunday Night Football" (1987) {New England Patriots vs. Indianapolis Colts (#9.8)}	1995
"Esquadr�o do Amor" (2014)	2014-????
"Esta noche cruzamos el Mississippi" (1995) {(1996-05-29)}	1996
"Esta sociedad" (2006) {(#1.6)}	2006
"Estoy por ti" (2005) {(2005-08-30)}	2005
"Estranha Mente" (2012) {(#1.12)}	2012
"Estrelas" (2006) {Ra�/Jair Rodrigues/Michel Tel� (#6.28)}	2012
"Estrellita, esa pobre campesina" (1968)	1968-1969
"Estudio 1" (1965) {El proceso del arzobispo de Carranza}	1969
"Estudio estadio" (1972) {(1983-02-10)}	1983
"Ett resande teaters�llskap" (1977) {Teaterdr�mmar (#1.1)}	1972
"Eva Fonda" (2008) {Eva Leaves for a Career in Japan (#1.30)}	2009
"Eva Jinek op zondag" (2011) {(#4.22)}	2015
"Eve" (2003) {Lights, Camera, Face Crack! (#2.11)}	2005
"Every Night" (2015) {Awake (#1.3)}	????
"Everyday Edisons" (2007) {This Invention Really Sucks! (Your Carpet) (#4.6)}	2012
"Everyman" (1977) {A Time to Die}	1979
"Everyman" (1977) {Science Friction Creation}	1996
"Everyman's Bacon" (2013) {Humble Pie... Mmmm (#1.11)}	2013
"Everything Butt" (2009) {Anal Prescription (#3.18)}	2011
"Everything Butt" (2009) {Double Anal Fisting with Ava Devine and Dana DeArmond}	2014
"Evolution: The Grand Experiment" (2009)	2009-????
"EW/Road to Ether" (2015) {Ether Weekly EP01 (#1.1)}	2015
"Ex-Tube" (2007) {(#2.9)}	2007
"Ex-Wives of Rock" (2012) {So Far, So Good, So What? (#3.25)}	2014
"Exotic Animal Handling" (2014)	2014-????
"Extra Drei" (1976) {(2015-03-13)}	2015
"Extra Rosa" (1997) {(1998-07-10)}	1998
"Extra! Extra!" (1999) {Extra! Extra!}	1999
"Extra" (1994) {(2008-10-17)}	2008
"Extra" (1994) {(2009-12-14)}	2009
"Extra" (1994) {(2015-07-10)}	2015
"Extreme Force" (2002) {The Science of Mountain Biking}	2002
"Extr�me limite" (1994) {Le grand plongeon (#2.20)}	1995
"Eye for an Eye" (2003) {Rude Shoe Salesman}	2006
"Eye for an Eye" (2003) {The Pillow Fight (#2.29)}	2005
"Ezel" (2009) {Aile g�zel bir hayaldir (#2.6)}	2010
"F.C. De Kampioenen" (1990) {Marc stopt (#7.4)}	1996
"Fabien de la Dr�me" (1983) {(#1.4)}	????
"Fabrika grez" (2004) {(#1.10)}	????
"Face Off" (2011) {Ego Trip Abroad (#6.8)}	2014
"Face the Music" (2015)	2015-????
"Faces of Japan" (1986) {An Uncertain Harvest (#2.8)}	????
"Fair City" (1988) {(#17.34)}	2006
"Fair City" (1988) {(#18.2)}	2007
"Fair City" (1988) {(#24.136)}	2013
"Fair City" (1988) {(#25.21)}	2014
"Faites entrer l'accus�" (2002) {Christophe Khider - L'�vasion pour obsession}	2014
"Faith in the Future" (1995) {Goodbye to Love (#3.4)}	1998
"Faithful Word Baptist Church" (2007) {"At the Cross" Gospel Singing Christian Hymns Baptist Church Phoenix AZ (#1.491)}	2010
"Faithful Word Baptist Church" (2007) {"Take the Name of Jesus with You" Congregational Hymn at FWBC (#1.509)}	2010
"Faithful Word Baptist Church" (2007) {1 Samuel 12 (#1.806)}	2011
"Faithful Word Baptist Church" (2007) {Catholicism in the Bible (#1.122)}	2008
"Faithful Word Baptist Church" (2007) {Isaiah 1 (#1.195)}	2008
"Faithful Word Baptist Church" (2007) {Psalm 12 Bible Study (#1.374)}	2009
"Faithful Word Baptist Church" (2007) {Psalm 19}	2010
"Faithful Word Baptist Church" (2007) {Shall We Continue in Sin? (#1.958)}	2012
"Faithful Word Baptist Church" (2007) {The Gainsaying of the Core (#1.1425)}	2014
"Faithful Word Baptist Church" (2007) {The Pope Is an Antichrist!}	2010
"Fake Off" (2014) {Movie Night (#2.1)}	2015
"Fala zbrodni" (2003) {(#3.9)}	????
"Fala-me de Amor" (2006) {(#1.50)}	2006
"Fala-me de Amor" (2006) {(#1.94)}	2006
"Fame Fatales" (2014) {Chainletter (#1.1)}	2014
"Fame L.A." (1997) {The Boys and the Band (#1.18)}	1998
"Familia Kft." (1991) {Bogy� mindent tud}	1993
"Familiata" (2013) {(#1.7)}	2013
"Familiata" (2013) {(#3.4)}	2014
"Familie" (1991) {(#1.1468)}	1998
"Familie" (1991) {(#1.1713)}	1999
"Familie" (1991) {(#1.3558)}	2007
"Familie" (1991) {(#1.3803)}	2008
"Familie" (1991) {(#1.4036)}	2009
"Familie" (1991) {(#1.4099)}	2009
"Familie" (1991) {(#1.4115)}	2009
"Familie" (1991) {(#1.4615)}	2011
"Familie" (1991) {(#1.4682)}	2011
"Familie" (1991) {(#1.5289)}	2014
"Familie" (1991) {(#1.5358)}	2014
"Familien im Brennpunkt" (2009)	2009-????
"Families" (1990) {(#1.140)}	1991
"Families" (1990) {(#1.318)}	1993
"Famille d'accueil" (2001) {Chat de goutti�re (#3.3)}	2010
"Family Affair" (1966) {Somebody Upstairs (#2.13)}	1967
"Family Affairs" (1997) {(#1.956)}	2000
"Family Bonds" (2004) {(#1.3)}	????
"Family Feud" (1976) {Valentine's Day Special}	1978
"Family Guy" (1999) {Death Has a Shadow (#1.1)}	1999
"Family Guy" (1999) {Don't Make Me Over (#4.4)}	2005
"Family Guy" (1999) {Jungle Love (#4.13)}	2005
"Family Guy" (1999) {Pilling Them Softly (#14.1)}	2015
"Family Matters" (1989) {A Mind Is a Terrible Thing to Read (#9.6)}	1997
"Family Matters" (1989) {The Big Reunion (#1.15)}	1990
"Family Rules" (1999) {The Gap (#1.2)}	1999
"Family Ties" (1982) {Teacher's Pet (#4.21)}	1986
"Family" (1976) {Prelude (#4.20)}	1979
"FancyFeaster" (2014) {Kelly's Roast Beef (#1.8)}	2014
"Fantasy Island" (1977) {Lady of the House/Mrs. Brandell's Favorites (#7.14)}	1984
"Far Flung Floyd" (1993) {Bangkok (#1.2)}	1993
"Far Flung Floyd" (1993) {Vietnam (#1.1)}	1993
"Farmers Apprentice" (2012)	2012-????
"Fashion and the City" (2011) {(#2.1)}	2012
"Fashion Police" (2002) {(#5.13)}	2010
"Fast Money" (2007) {(2014-04-25)}	2014
"Fast Money" (2007) {(2014-07-29)}	2014
"Father Alex's Webcam" (2011) {Father Alex's Webcam - Compilation (#3.2)}	2013
"Father Knows Best" (1954) {Twenty-Four Hours in Tyrantland}	1959
"Father Ted" (1995) {Rock a Hula Ted (#2.7)}	1996
"Favole in verde" (2009) {Primo colpo sul lago (#1.4)}	2009
"Fa�a Sua Hist�ria" (2007)	2007-????
"Fc Z" (2005) {(#1.3)}	2005
"Fear Factor" (2001/I) {Burning Building/Scorpion Pit/Rotating Climbing Wall (#3.7)}	2002
"Fear the Walking Dead: Flight 462" (2015) {Flight 462: Part 15 (#1.15)}	2015
"Feed Me Bubbe" (2010) {Hamburgers/Fruit Salad/Sponge Cake}	2010
"Feherty" (2011) {Simpson (#5.3)}	2015
"Feiti�o de Amor" (2008) {(#1.242)}	2009
"Femdom Empire" (2011) {Breakin His Ass In}	2011
"Femdom Empire" (2011) {Face Slapped Spittoon}	2012
"Femeile noptii" (2013)	2013-????
"Festivalbar" (1987)	1987-????
"FETCH! with Ruff Ruffman" (2006) {Grandma Ruffman's Recipe for Success (#1.14)}	2006
"Fetish Pros" (2013) {Holly Heart - Foot Tease}	2013
"Ffizz" (1987)	1987-1989
"Fiddley Foodle Bird" (1991)	1991-????
"Field Trip" (1997) {Side by Side (#2.12)}	1998
"Fiesta" (1997)	1997-????
"Fight of the Night" (2012) {Evan Dunham vs. Nik Lentz UFC on FOX (#1.3)}	2012
"Filhos do Vento" (1996) {(#1.44)}	1997
"Fillmore!" (2002) {Ingrid Third, Public Enemy #1 (#1.8)}	2002
"Film Riot" (2009) {Star Trek vs. Star Wars! The Great Lightsaber - Phaser Battle (#1.1)}	2009
"Film School" (2014)	2014-????
"FilmSnobbery Live!" (2009) {(#3.4)}	2013
"Filthy Riches" (2014) {In It to Win It (#1.6)}	2014
"Final de partida" (2010)	2010-????
"Final Score" (2011) {(2011-05-19)}	2011
"Find Our Missing" (2012) {Debra Sellars and Jhada Clark (#2.5)}	2013
"Firma" (2005) {Kanan maailmankaikkeus (#1.9)}	2005
"First Baby Songs" (2007)	2007-????
"First Dates with Toby Harris" (2011) {Drinking (#1.10)}	2012
"First Mind Presents: Short Films" (2015) {BlackBestFriends (#1.2)}	2015
"Firsthand" (2003)	2003-????
"Firsthand" (2003) {Ruben Alcantara}	2008
"Five Fingers" (1959) {The Temple of the Swinging Doll (#1.9)}	1959
"Five O'Clock Club" (1963) {(#1.28)}	1964
"Five O'Clock Club" (1963) {(#1.60)}	1964
"Five O'Clock Club" (1963) {(1966-06-17)}	1966
"Flash Gordon" (2007) {The Sorrow (#1.13)}	2007
"Flashpoint" (2008) {Severed Ties (#3.2)}	2010
"Flavor of Love" (2006)	2006-????
"Flight 29 Down" (2005) {Abby Normal (#1.11)}	2006
"Flikken Maastricht" (2007) {Britt (#1.12)}	2007
"Flikken" (1999) {Gif (#2.1)}	2000
"Flip My Food with Chef Jeff" (2014) {Crystal Hot Sauce (#1.111)}	2015
"Flip That House" (2005) {Luke III & Luke IV Weinman (#4.7)}	2008
"Flipper" (1964) {Countdown for Flipper (#1.8)}	1964
"Flipping Out" (2007) {Say Hello to Hollywood (#8.6)}	2015
"Floodtide" (1987) {(#2.1)}	1988
"Flor do Mar" (2008) {(#1.117)}	2009
"Flor do Mar" (2008) {(#1.243)}	2009
"Floribella" (2006/I) {(#1.6)}	2006
"Floribella" (2006/I) {(#1.71)}	2006
"Fluch des Falken" (2011) {Zwischen den Fronten (#1.50)}	2011
"Flug des Falken" (1985) {(#1.4)}	1985
"Flushed" (2015) {(#1.64)}	2015
"FNL's Celebrity Beauty Secrets" (2013) {Celebrity Beauty Secrets: How to Achieve the Perfect Chignon (#1.2)}	2013
"Follyfoot" (1971) {Someone, Somewhere (#2.1)}	1972
"Food Court Wars" (2012) {(#2.14)}	2014
"Food Finds" (2000) {Kentucky}	2001
"Food Hound: Tidbits" (2011)	2011-????
"Food Network Challenge" (2003) {Challenge: Campfire Cook-off (#2.20)}	2005
"Food Network Thanksgiving" (2005) {Paula's Southern Thanksgiving (#1.8)}	2008
"Food Unwrapped" (2012) {Wagu Beef, Swiss Cheese (#6.2)}	2015
"For Better or Worse" (2011) {Shawn Part 1 (#3.43)}	2014
"For Love or Money" (1958)	1958-1959
"For Your Home" (2003) {(2011-10-07)}	2011
"Foreign Intrigue" (1951) {The Coat (#3.17)}	1954
"Forensic Files" (1996) {Buried Treasure (#9.17)}	2004
"Forensic Files" (1996) {Traces of Truth (#8.37)}	2004
"Forensic Files" (1996) {Trail of Truth (#5.7)}	2000
"Forever Fernwood" (1977) {(#1.15)}	1977
"Forever" (1996) {(#1.3)}	1996
"Formula 1: BBC Sport" (2009) {The Malaysian Grand Prix (#1.5)}	2009
"Forsthaus Falkenau" (1989) {Sturm im Schutzwald (#11.6)}	2002
"Fort Alpha" (1996) {Coming Out (#2.4)}	1997
"Fortellinger fra Drammen" (2014) {Gode Ideer (#1.1)}	2014
"Forty Minutes" (1981) {Love Story (#5.6)}	1985
"Forty Minutes" (1981) {The Promised Land (#5.1)}	1985
"Fotballkrigen" (2010) {River Plate - Boca Juniors (#1.5)}	2010
"Four Corners" (1961) {The Great Cricket Coup (#55.26)}	2015
"Four on the Floor" (1985) {(#1.7)}	1986
"Four Star Playhouse" (1952) {One Way Out (#4.11)}	1955
"Four Star Playhouse" (1952) {To Whom It May Concern (#1.18)}	1953
"Foursome" (2006) {Eat, Pray, Sex (#5.8)}	2012
"Fox and Friends" (1998) {(2015-08-03)}	2015
"FOX Backstage Pass" (2008) {(#1.92)}	????
"Fox Gr�nland" (2001) {(#2.5)}	2003
"Fox News Rising" (1998)	1998-????
"Fox News Sunday" (1996) {(2014-11-30)}	2014
"Fox News" (1987) {(2015-02-09)}	2015
"Fox NFL Kickoff" (2013) {(#3.4)}	2015
"Fox Report w/ Shepard Smith" (1996) {(2012-08-24)}	2012
"Fox Report w/ Shepard Smith" (1996) {(2014-09-21)}	2014
"Fra Sydhavn til West Coast" (2013)	2013-2014
"Fraggle Rock" (1983) {Gobo's Discovery (#1.21)}	1983
"Fragmentos de interior" (1984) {(#1.4)}	1984
"Framelines" (2011) {S1x04 (#1.4)}	2011
"Fran and Jazzy: The Chronicles" (2010) {Go Cockney (#1.1)}	2010
"Fraud Squad" (1969) {Inquest (#2.6)}	1970
"Freakworld: Mi Frikimundo" (2014) {Soul Gayver (#1.3)}	2015
"Frecuencia .04" (2004) {(#1.77)}	2004
"French Fields" (1989) {French with Tears (#3.1)}	1991
"Freundschaft mit Herz" (1995) {Frauensache (#2.10)}	1996
